user_id,al farissi,ali ibrahim,alvi syahrini utami,anggina primanita,annisa darmawahyuni,danny matthew saputra,deris stiawan,desty rodiah,dian palupi rini,julian supardi,junia kurniati,kanda januar miraswan,mastura diana marieska,muhammad naufal rachmatullah,novi yusliani,rifkie primartha,rizki kurniati
mhs_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mhs_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mhs_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mhs_108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mhs_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
