Nama Dosen
"Abdiansah, S.Kom., M.Cs."
"Al Farissi, S.Kom., M.Cs."
"Alvi Syahrini Utami, M.Kom."
"Anggina Primanita,S.Kom., M.IT"
"Annisa Darmawahyuni, M. Kom."
"Danny Matthew Saputra,S.T., M.Sc."
"Deris Stiawan, M.T., Ph.D."
"Desty Rodiah, S.Kom., M.T."
"Dian Palupi Rini, S.Si., M.Kom."
"Drs. Megah Mulya, M.T."
"Drs. Saparudin, M.T., Ph.D."
"Hadi Purnawan Satria,Ph.D"
"Hardini Novianti, S.E., M.T."
"Julian Supardi, S.Pd., M.T."
"Junia Kurniati, M.Kom."
"Kanda Januar Miraswan,S.Kom., MT"
"Kemahyanto Exaudi,S.Kom., MT"
"Dr. M. Fachrurrozi, S.Si., M.T."
"Muhammad Qurhanul Rizqie M.T., Ph.D."
"Muhammad Naufal Rachmatullah, M.T."
"Mastura Diana Marieska, M.T."
"Novi Yusliani, S.Kom., M.T."
"Osvari Arsalan S.Kom., M.T"
"Rahmat Izwan Heroza,S.T.,M.T."
"Rifkie Primartha, S.T., M.T."
"Rizki Kurniati, M.T."
"Syamsuryadi, S.Si., M.Kom., Ph.D."
"Yunita SSI,S.Si., M.Cs"
Ermatita
Ali Ibrahim































































































































































































































































































































































































































































































































































































































































































































































































































































































































































